"","Uniparenting_rate","Expected_N_fixed_mutations","SD_N_fixed_mutations"
"1",0,160.314285714286,12.0459205410243
"2",0.2,197.057142857143,18.2836198905611
"3",0.4,241.657142857143,18.3045202664499
"4",0.6,294.828571428571,17.6793094659627
"5",0.8,405.257142857143,19.7250853381332
"6",0.95,662.057142857143,28.2852516726451
"7",0.99,911.428571428571,33.868504989918
"8",1,1062.97142857143,33.7791144263518
