"","Uniparenting_rate","Expected_additive_load","SD_additive_load"
"1",0,65229.8285714286,1725.86884318176
"2",0.2,64495.9142857143,1422.16242498008
"3",0.4,63301.3714285714,1613.07273614702
"4",0.6,60997.0857142857,2048.91132313823
"5",0.8,56010.8857142857,1934.71128369597
"6",0.95,124506.742857143,12300.4124281473
"7",0.99,158496.057142857,2511.58775587519
"8",1,162953.742857143,2405.67300529464
