"","Selection_coefficient","Dominance_coefficient","Uniparenting_rate","Expected_relative_homozygosity","SD_relative_homozygosity"
"1",0.01,0.2,0,0.0239265085866168,0.00430357305095615
"2",0.01,0.2,0.2,0.0249057770635702,0.00427857555835393
"3",0.01,0.2,0.4,0.0256866604006205,0.00458529924786279
"4",0.01,0.2,0.6,0.0269237730040521,0.00458812808356412
"5",0.01,0.2,0.8,0.0322993431185361,0.00555997804392776
"6",0.01,0.2,0.95,0.0206857722207404,0.0174916455175111
"7",0.01,0.2,0.99,0.00449029931791255,0.0074706170598561
"8",0.01,0.2,1,0,0
