"","Selection_coefficient","Dominance_coefficient","Uniparenting_rate","Expected_recessive_load","SD_recessive_load"
"1",0.01,0.2,0,58.11,10.1999158245685
"2",0.01,0.2,0.2,217.67,61.2148154972604
"3",0.01,0.2,0.4,329.17,75.2685501817635
"4",0.01,0.2,0.6,424.36,58.1072710553073
"5",0.01,0.2,0.8,472.65,52.8753775925577
"6",0.01,0.2,0.95,539.9,52.4072051488643
"7",0.01,0.2,0.99,740.74,132.701200012843
"8",0.01,0.2,1,808.24,244.401975557821
