"","Selection_coefficient","Dominance_coefficient","Uniparenting_rate","Expected_additive_load","SD_additive_load"
"1",0.01,0.2,0,4831.12,131.554135263968
"2",0.01,0.2,0.2,4815.24,130.009022219944
"3",0.01,0.2,0.4,4802.04,141.546217601078
"4",0.01,0.2,0.6,4860.49,162.18641818113
"5",0.01,0.2,0.8,4955.74,184.285385840395
"6",0.01,0.2,0.95,294809.59,5400.65498851292
"7",0.01,0.2,0.99,333073.26,2689.10558004071
"8",0.01,0.2,1,349033.5,2742.42719855859
