"","Selection_coefficient","Dominance_coefficient","Uniparenting_rate","Expected_recessive_load","SD_recessive_load"
"1",0.01,0.2,0,57.83,10.6610354453813
"2",0.01,0.2,0.2,59.96,10.4164981804556
"3",0.01,0.2,0.4,61.69,11.192254717284
"4",0.01,0.2,0.6,65.5,11.7340048017234
"5",0.01,0.2,0.8,80.1,14.488239745017
"6",0.01,0.2,0.95,3046.67,2575.17286682669
"7",0.01,0.2,0.99,747.06,1242.83605962778
"8",0.01,0.2,1,0,0
