"","Selection_coefficient","Dominance_coefficient","Uniparenting_rate","Replicate","N_segregating_mutations_selfing"
"695",0.01,0.2,0.99,95,1481
"696",0.01,0.2,0.99,96,1248
"697",0.01,0.2,0.99,97,830
"698",0.01,0.2,0.99,98,1429
"699",0.01,0.2,0.99,99,1356
"700",0.01,0.2,0.99,100,1098
"701",0.01,0.2,1,1,2467
"702",0.01,0.2,1,2,2729
"703",0.01,0.2,1,3,1467
"704",0.01,0.2,1,4,1395
"705",0.01,0.2,1,5,1235
"706",0.01,0.2,1,6,1330
"707",0.01,0.2,1,7,1499
"708",0.01,0.2,1,8,1362
"709",0.01,0.2,1,9,1635
"710",0.01,0.2,1,10,2311
"711",0.01,0.2,1,11,1987
"712",0.01,0.2,1,12,1955
"713",0.01,0.2,1,13,1374
"714",0.01,0.2,1,14,2014
"715",0.01,0.2,1,15,1643
"716",0.01,0.2,1,16,1402
"717",0.01,0.2,1,17,2337
"718",0.01,0.2,1,18,1973
"719",0.01,0.2,1,19,1724
"720",0.01,0.2,1,20,1327
"721",0.01,0.2,1,21,2421
"722",0.01,0.2,1,22,1527
"723",0.01,0.2,1,23,1988
"724",0.01,0.2,1,24,1111
"725",0.01,0.2,1,25,1450
"726",0.01,0.2,1,26,1858
"727",0.01,0.2,1,27,2823
"728",0.01,0.2,1,28,1308
"729",0.01,0.2,1,29,1023
"730",0.01,0.2,1,30,1179
"731",0.01,0.2,1,31,2322
"732",0.01,0.2,1,32,1241
"733",0.01,0.2,1,33,1551
"734",0.01,0.2,1,34,1879
"735",0.01,0.2,1,35,2969
"736",0.01,0.2,1,36,1373
"737",0.01,0.2,1,37,1882
"738",0.01,0.2,1,38,1220
"739",0.01,0.2,1,39,2065
"740",0.01,0.2,1,40,1186
"741",0.01,0.2,1,41,1234
"742",0.01,0.2,1,42,1918
"743",0.01,0.2,1,43,1521
"744",0.01,0.2,1,44,1193
"745",0.01,0.2,1,45,981
"746",0.01,0.2,1,46,1514
"747",0.01,0.2,1,47,1288
"748",0.01,0.2,1,48,874
"749",0.01,0.2,1,49,1231
"750",0.01,0.2,1,50,1595
"751",0.01,0.2,1,51,1043
"752",0.01,0.2,1,52,1114
"753",0.01,0.2,1,53,2039
"754",0.01,0.2,1,54,2475
"755",0.01,0.2,1,55,2232
"756",0.01,0.2,1,56,1498
"757",0.01,0.2,1,57,1021
"758",0.01,0.2,1,58,1218
"759",0.01,0.2,1,59,1647
"760",0.01,0.2,1,60,1308
"761",0.01,0.2,1,61,2194
"762",0.01,0.2,1,62,1580
"763",0.01,0.2,1,63,1170
"764",0.01,0.2,1,64,1393
"765",0.01,0.2,1,65,1221
"766",0.01,0.2,1,66,1603
"767",0.01,0.2,1,67,2573
"768",0.01,0.2,1,68,3147
"769",0.01,0.2,1,69,1931
"770",0.01,0.2,1,70,1459
"771",0.01,0.2,1,71,873
"772",0.01,0.2,1,72,2534
"773",0.01,0.2,1,73,1911
"774",0.01,0.2,1,74,1197
"775",0.01,0.2,1,75,1650
"776",0.01,0.2,1,76,1699
"777",0.01,0.2,1,77,1325
"778",0.01,0.2,1,78,1205
"779",0.01,0.2,1,79,1718
"780",0.01,0.2,1,80,1495
"781",0.01,0.2,1,81,1428
"782",0.01,0.2,1,82,1457
"783",0.01,0.2,1,83,1990
"784",0.01,0.2,1,84,1038
"785",0.01,0.2,1,85,1704
"786",0.01,0.2,1,86,1276
"787",0.01,0.2,1,87,1039
"788",0.01,0.2,1,88,2235
"789",0.01,0.2,1,89,1218
"790",0.01,0.2,1,90,1793
"791",0.01,0.2,1,91,1948
"792",0.01,0.2,1,92,1718
"793",0.01,0.2,1,93,2294
"794",0.01,0.2,1,94,1172
"795",0.01,0.2,1,95,1836
"796",0.01,0.2,1,96,1812
"797",0.01,0.2,1,97,1123
"798",0.01,0.2,1,98,1287
"799",0.01,0.2,1,99,1383
"800",0.01,0.2,1,100,1527
