"","Selection_coefficient","Dominance_coefficient","Uniparenting_rate","Replicate","N_segregating_mutations_cloning"
"685",0.01,0.2,0.99,85,335674
"686",0.01,0.2,0.99,86,332115
"687",0.01,0.2,0.99,87,332894
"688",0.01,0.2,0.99,88,334687
"689",0.01,0.2,0.99,89,331134
"690",0.01,0.2,0.99,90,335817
"691",0.01,0.2,0.99,91,334197
"692",0.01,0.2,0.99,92,332181
"693",0.01,0.2,0.99,93,334778
"694",0.01,0.2,0.99,94,334378
"695",0.01,0.2,0.99,95,331660
"696",0.01,0.2,0.99,96,336049
"697",0.01,0.2,0.99,97,326915
"698",0.01,0.2,0.99,98,328583
"699",0.01,0.2,0.99,99,338652
"700",0.01,0.2,0.99,100,327225
"701",0.01,0.2,1,1,346876
"702",0.01,0.2,1,2,349742
"703",0.01,0.2,1,3,345285
"704",0.01,0.2,1,4,346910
"705",0.01,0.2,1,5,349064
"706",0.01,0.2,1,6,349324
"707",0.01,0.2,1,7,348157
"708",0.01,0.2,1,8,349562
"709",0.01,0.2,1,9,347072
"710",0.01,0.2,1,10,347757
"711",0.01,0.2,1,11,349544
"712",0.01,0.2,1,12,349022
"713",0.01,0.2,1,13,350863
"714",0.01,0.2,1,14,351082
"715",0.01,0.2,1,15,350475
"716",0.01,0.2,1,16,346453
"717",0.01,0.2,1,17,345805
"718",0.01,0.2,1,18,349584
"719",0.01,0.2,1,19,347694
"720",0.01,0.2,1,20,353124
"721",0.01,0.2,1,21,351650
"722",0.01,0.2,1,22,347000
"723",0.01,0.2,1,23,350077
"724",0.01,0.2,1,24,354344
"725",0.01,0.2,1,25,351789
"726",0.01,0.2,1,26,350410
"727",0.01,0.2,1,27,346828
"728",0.01,0.2,1,28,345666
"729",0.01,0.2,1,29,350794
"730",0.01,0.2,1,30,350302
"731",0.01,0.2,1,31,349492
"732",0.01,0.2,1,32,343414
"733",0.01,0.2,1,33,347138
"734",0.01,0.2,1,34,345666
"735",0.01,0.2,1,35,347320
"736",0.01,0.2,1,36,344323
"737",0.01,0.2,1,37,348490
"738",0.01,0.2,1,38,350284
"739",0.01,0.2,1,39,350860
"740",0.01,0.2,1,40,351259
"741",0.01,0.2,1,41,353368
"742",0.01,0.2,1,42,350174
"743",0.01,0.2,1,43,349292
"744",0.01,0.2,1,44,347673
"745",0.01,0.2,1,45,350008
"746",0.01,0.2,1,46,346202
"747",0.01,0.2,1,47,350837
"748",0.01,0.2,1,48,345947
"749",0.01,0.2,1,49,347939
"750",0.01,0.2,1,50,345736
"751",0.01,0.2,1,51,348029
"752",0.01,0.2,1,52,353642
"753",0.01,0.2,1,53,352948
"754",0.01,0.2,1,54,348420
"755",0.01,0.2,1,55,348948
"756",0.01,0.2,1,56,349793
"757",0.01,0.2,1,57,351049
"758",0.01,0.2,1,58,350211
"759",0.01,0.2,1,59,351648
"760",0.01,0.2,1,60,347280
"761",0.01,0.2,1,61,346318
"762",0.01,0.2,1,62,347832
"763",0.01,0.2,1,63,348527
"764",0.01,0.2,1,64,346195
"765",0.01,0.2,1,65,345091
"766",0.01,0.2,1,66,346371
"767",0.01,0.2,1,67,351952
"768",0.01,0.2,1,68,351017
"769",0.01,0.2,1,69,347125
"770",0.01,0.2,1,70,340077
"771",0.01,0.2,1,71,344052
"772",0.01,0.2,1,72,353557
"773",0.01,0.2,1,73,349778
"774",0.01,0.2,1,74,346465
"775",0.01,0.2,1,75,350733
"776",0.01,0.2,1,76,350391
"777",0.01,0.2,1,77,354475
"778",0.01,0.2,1,78,352862
"779",0.01,0.2,1,79,348244
"780",0.01,0.2,1,80,349760
"781",0.01,0.2,1,81,353549
"782",0.01,0.2,1,82,349956
"783",0.01,0.2,1,83,348318
"784",0.01,0.2,1,84,346078
"785",0.01,0.2,1,85,347496
"786",0.01,0.2,1,86,347585
"787",0.01,0.2,1,87,350082
"788",0.01,0.2,1,88,353478
"789",0.01,0.2,1,89,345684
"790",0.01,0.2,1,90,350525
"791",0.01,0.2,1,91,346054
"792",0.01,0.2,1,92,352224
"793",0.01,0.2,1,93,353147
"794",0.01,0.2,1,94,350829
"795",0.01,0.2,1,95,345267
"796",0.01,0.2,1,96,349468
"797",0.01,0.2,1,97,347281
"798",0.01,0.2,1,98,353701
"799",0.01,0.2,1,99,348698
"800",0.01,0.2,1,100,353463
