"","Selection_coefficient","Dominance_coefficient","Uniparenting_rate","Replicate","N_seg_homo_genotypes_selfing"
"737",0.01,0.2,1,37,930
"738",0.01,0.2,1,38,603
"739",0.01,0.2,1,39,1021
"740",0.01,0.2,1,40,580
"741",0.01,0.2,1,41,608
"742",0.01,0.2,1,42,950
"743",0.01,0.2,1,43,751
"744",0.01,0.2,1,44,584
"745",0.01,0.2,1,45,478
"746",0.01,0.2,1,46,746
"747",0.01,0.2,1,47,636
"748",0.01,0.2,1,48,425
"749",0.01,0.2,1,49,605
"750",0.01,0.2,1,50,787
"751",0.01,0.2,1,51,512
"752",0.01,0.2,1,52,550
"753",0.01,0.2,1,53,1010
"754",0.01,0.2,1,54,1231
"755",0.01,0.2,1,55,1110
"756",0.01,0.2,1,56,739
"757",0.01,0.2,1,57,499
"758",0.01,0.2,1,58,596
"759",0.01,0.2,1,59,809
"760",0.01,0.2,1,60,646
"761",0.01,0.2,1,61,1082
"762",0.01,0.2,1,62,780
"763",0.01,0.2,1,63,577
"764",0.01,0.2,1,64,680
"765",0.01,0.2,1,65,603
"766",0.01,0.2,1,66,786
"767",0.01,0.2,1,67,1280
"768",0.01,0.2,1,68,1567
"769",0.01,0.2,1,69,956
"770",0.01,0.2,1,70,720
"771",0.01,0.2,1,71,425
"772",0.01,0.2,1,72,1260
"773",0.01,0.2,1,73,947
"774",0.01,0.2,1,74,590
"775",0.01,0.2,1,75,813
"776",0.01,0.2,1,76,838
"777",0.01,0.2,1,77,653
"778",0.01,0.2,1,78,595
"779",0.01,0.2,1,79,849
"780",0.01,0.2,1,80,738
"781",0.01,0.2,1,81,700
"782",0.01,0.2,1,82,719
"783",0.01,0.2,1,83,988
"784",0.01,0.2,1,84,508
"785",0.01,0.2,1,85,843
"786",0.01,0.2,1,86,628
"787",0.01,0.2,1,87,510
"788",0.01,0.2,1,88,1109
"789",0.01,0.2,1,89,597
"790",0.01,0.2,1,90,888
"791",0.01,0.2,1,91,963
"792",0.01,0.2,1,92,852
"793",0.01,0.2,1,93,1138
"794",0.01,0.2,1,94,578
"795",0.01,0.2,1,95,910
"796",0.01,0.2,1,96,895
"797",0.01,0.2,1,97,551
"798",0.01,0.2,1,98,635
"799",0.01,0.2,1,99,683
"800",0.01,0.2,1,100,756
