"","Selection_coefficient","Dominance_coefficient","Uniparenting_rate","Replicate","N_seg_homo_genotypes_selfing"
"177",0.01,0.2,0.2,77,129
"178",0.01,0.2,0.2,78,222
"179",0.01,0.2,0.2,79,161
"180",0.01,0.2,0.2,80,291
"181",0.01,0.2,0.2,81,127
"182",0.01,0.2,0.2,82,145
"183",0.01,0.2,0.2,83,320
"184",0.01,0.2,0.2,84,282
"185",0.01,0.2,0.2,85,189
"186",0.01,0.2,0.2,86,200
"187",0.01,0.2,0.2,87,200
"188",0.01,0.2,0.2,88,200
"189",0.01,0.2,0.2,89,175
"190",0.01,0.2,0.2,90,194
"191",0.01,0.2,0.2,91,163
"192",0.01,0.2,0.2,92,160
"193",0.01,0.2,0.2,93,316
"194",0.01,0.2,0.2,94,145
"195",0.01,0.2,0.2,95,237
"196",0.01,0.2,0.2,96,186
"197",0.01,0.2,0.2,97,255
"198",0.01,0.2,0.2,98,129
"199",0.01,0.2,0.2,99,226
"200",0.01,0.2,0.2,100,211
"201",0.01,0.2,0.4,1,381
"202",0.01,0.2,0.4,2,251
"203",0.01,0.2,0.4,3,243
"204",0.01,0.2,0.4,4,498
"205",0.01,0.2,0.4,5,340
"206",0.01,0.2,0.4,6,225
"207",0.01,0.2,0.4,7,254
"208",0.01,0.2,0.4,8,251
"209",0.01,0.2,0.4,9,388
"210",0.01,0.2,0.4,10,212
"211",0.01,0.2,0.4,11,413
"212",0.01,0.2,0.4,12,397
"213",0.01,0.2,0.4,13,368
"214",0.01,0.2,0.4,14,358
"215",0.01,0.2,0.4,15,218
"216",0.01,0.2,0.4,16,341
"217",0.01,0.2,0.4,17,322
"218",0.01,0.2,0.4,18,245
"219",0.01,0.2,0.4,19,405
"220",0.01,0.2,0.4,20,298
"221",0.01,0.2,0.4,21,280
"222",0.01,0.2,0.4,22,447
"223",0.01,0.2,0.4,23,454
"224",0.01,0.2,0.4,24,418
"225",0.01,0.2,0.4,25,376
"226",0.01,0.2,0.4,26,236
"227",0.01,0.2,0.4,27,235
"228",0.01,0.2,0.4,28,338
"229",0.01,0.2,0.4,29,366
"230",0.01,0.2,0.4,30,241
"231",0.01,0.2,0.4,31,364
"232",0.01,0.2,0.4,32,365
"233",0.01,0.2,0.4,33,263
"234",0.01,0.2,0.4,34,282
"235",0.01,0.2,0.4,35,299
"236",0.01,0.2,0.4,36,401
"237",0.01,0.2,0.4,37,364
"238",0.01,0.2,0.4,38,296
"239",0.01,0.2,0.4,39,254
"240",0.01,0.2,0.4,40,186
"241",0.01,0.2,0.4,41,234
"242",0.01,0.2,0.4,42,345
"243",0.01,0.2,0.4,43,368
"244",0.01,0.2,0.4,44,326
"245",0.01,0.2,0.4,45,470
"246",0.01,0.2,0.4,46,401
"247",0.01,0.2,0.4,47,461
"248",0.01,0.2,0.4,48,405
"249",0.01,0.2,0.4,49,462
"250",0.01,0.2,0.4,50,328
"251",0.01,0.2,0.4,51,284
"252",0.01,0.2,0.4,52,375
"253",0.01,0.2,0.4,53,274
"254",0.01,0.2,0.4,54,213
"255",0.01,0.2,0.4,55,343
"256",0.01,0.2,0.4,56,228
"257",0.01,0.2,0.4,57,360
"258",0.01,0.2,0.4,58,280
"259",0.01,0.2,0.4,59,462
"260",0.01,0.2,0.4,60,366
"261",0.01,0.2,0.4,61,443
"262",0.01,0.2,0.4,62,266
"263",0.01,0.2,0.4,63,317
"264",0.01,0.2,0.4,64,258
"265",0.01,0.2,0.4,65,309
"266",0.01,0.2,0.4,66,431
"267",0.01,0.2,0.4,67,401
"268",0.01,0.2,0.4,68,290
"269",0.01,0.2,0.4,69,354
"270",0.01,0.2,0.4,70,291
"271",0.01,0.2,0.4,71,333
"272",0.01,0.2,0.4,72,260
"273",0.01,0.2,0.4,73,266
"274",0.01,0.2,0.4,74,291
"275",0.01,0.2,0.4,75,452
"276",0.01,0.2,0.4,76,347
"277",0.01,0.2,0.4,77,231
"278",0.01,0.2,0.4,78,312
"279",0.01,0.2,0.4,79,271
"280",0.01,0.2,0.4,80,427
"281",0.01,0.2,0.4,81,495
"282",0.01,0.2,0.4,82,376
"283",0.01,0.2,0.4,83,314
"284",0.01,0.2,0.4,84,340
"285",0.01,0.2,0.4,85,247
"286",0.01,0.2,0.4,86,207
"287",0.01,0.2,0.4,87,383
"288",0.01,0.2,0.4,88,329
"289",0.01,0.2,0.4,89,381
"290",0.01,0.2,0.4,90,384
"291",0.01,0.2,0.4,91,232
"292",0.01,0.2,0.4,92,221
"293",0.01,0.2,0.4,93,276
"294",0.01,0.2,0.4,94,406
"295",0.01,0.2,0.4,95,352
"296",0.01,0.2,0.4,96,235
"297",0.01,0.2,0.4,97,309
"298",0.01,0.2,0.4,98,335
"299",0.01,0.2,0.4,99,381
"300",0.01,0.2,0.4,100,306
"301",0.01,0.2,0.6,1,526
"302",0.01,0.2,0.6,2,330
"303",0.01,0.2,0.6,3,443
"304",0.01,0.2,0.6,4,454
"305",0.01,0.2,0.6,5,504
"306",0.01,0.2,0.6,6,341
"307",0.01,0.2,0.6,7,405
