"","Selection_coefficient","Dominance_coefficient","Uniparenting_rate","Replicate","Relative_homo_selfing"
"131",0.01,0.2,0.2,31,0.14103982300885
"132",0.01,0.2,0.2,32,0.141673349371826
"133",0.01,0.2,0.2,33,0.0890557939914163
"134",0.01,0.2,0.2,34,0.0823162077774624
"135",0.01,0.2,0.2,35,0.206835066864785
"136",0.01,0.2,0.2,36,0.112299465240642
"137",0.01,0.2,0.2,37,0.132002218524681
"138",0.01,0.2,0.2,38,0.0617352614015573
"139",0.01,0.2,0.2,39,0.135166093928981
"140",0.01,0.2,0.2,40,0.147785927737028
"141",0.01,0.2,0.2,41,0.0349030470914127
"142",0.01,0.2,0.2,42,0.0981090709783502
"143",0.01,0.2,0.2,43,0.122482308111051
"144",0.01,0.2,0.2,44,0.125617114646188
"145",0.01,0.2,0.2,45,0.118161925601751
"146",0.01,0.2,0.2,46,0.118179398456215
"147",0.01,0.2,0.2,47,0.131358300726663
"148",0.01,0.2,0.2,48,0.131849315068493
"149",0.01,0.2,0.2,49,0.143627590122055
"150",0.01,0.2,0.2,50,0.136337706788363
"151",0.01,0.2,0.2,51,0.125779036827195
"152",0.01,0.2,0.2,52,0.154882154882155
"153",0.01,0.2,0.2,53,0.173125884016973
"154",0.01,0.2,0.2,54,0.169230769230769
"155",0.01,0.2,0.2,55,0.107683352735739
"156",0.01,0.2,0.2,56,0.158246458166266
"157",0.01,0.2,0.2,57,0.111237230419977
"158",0.01,0.2,0.2,58,0.0927005273383292
"159",0.01,0.2,0.2,59,0.131655939145699
"160",0.01,0.2,0.2,60,0.197802197802198
"161",0.01,0.2,0.2,61,0.100330760749724
"162",0.01,0.2,0.2,62,0.0744889386726407
"163",0.01,0.2,0.2,63,0.131910235358511
"164",0.01,0.2,0.2,64,0.118877270225647
"165",0.01,0.2,0.2,65,0.0750279955207167
"166",0.01,0.2,0.2,66,0.175928511588942
"167",0.01,0.2,0.2,67,0.164777439867293
"168",0.01,0.2,0.2,68,0.163198247535597
"169",0.01,0.2,0.2,69,0.162546177891446
"170",0.01,0.2,0.2,70,0.126802721088435
"171",0.01,0.2,0.2,71,0.101441537640149
"172",0.01,0.2,0.2,72,0.0895104895104895
"173",0.01,0.2,0.2,73,0.166299559471366
"174",0.01,0.2,0.2,74,0.122753663256843
"175",0.01,0.2,0.2,75,0.0765217391304348
"176",0.01,0.2,0.2,76,0.143848930852541
"177",0.01,0.2,0.2,77,0.0731085293284216
"178",0.01,0.2,0.2,78,0.122855561704483
"179",0.01,0.2,0.2,79,0.0926618705035971
"180",0.01,0.2,0.2,80,0.154172185430464
"181",0.01,0.2,0.2,81,0.0704968082153761
"182",0.01,0.2,0.2,82,0.0803992237316329
"183",0.01,0.2,0.2,83,0.182857142857143
"184",0.01,0.2,0.2,84,0.161096829477292
"185",0.01,0.2,0.2,85,0.108185460789926
"186",0.01,0.2,0.2,86,0.112013441612994
"187",0.01,0.2,0.2,87,0.109229929000546
"188",0.01,0.2,0.2,88,0.115473441108545
"189",0.01,0.2,0.2,89,0.101273148148148
"190",0.01,0.2,0.2,90,0.106097894449002
"191",0.01,0.2,0.2,91,0.0887799564270152
"192",0.01,0.2,0.2,92,0.0887409872434831
"193",0.01,0.2,0.2,93,0.174585635359116
"194",0.01,0.2,0.2,94,0.0790406105205778
"195",0.01,0.2,0.2,95,0.130041152263374
"196",0.01,0.2,0.2,96,0.10267733922164
"197",0.01,0.2,0.2,97,0.14010989010989
"198",0.01,0.2,0.2,98,0.0757486788021139
"199",0.01,0.2,0.2,99,0.123328785811733
"200",0.01,0.2,0.2,100,0.115838594564919
"201",0.01,0.2,0.4,1,0.301424050632911
"202",0.01,0.2,0.4,2,0.195635229929852
"203",0.01,0.2,0.4,3,0.188664596273292
"204",0.01,0.2,0.4,4,0.386196200077549
"205",0.01,0.2,0.4,5,0.259938837920489
"206",0.01,0.2,0.4,6,0.179140127388535
"207",0.01,0.2,0.4,7,0.200157604412924
"208",0.01,0.2,0.4,8,0.193822393822394
"209",0.01,0.2,0.4,9,0.30503144654088
"210",0.01,0.2,0.4,10,0.153123871433731
"211",0.01,0.2,0.4,11,0.300036324010171
"212",0.01,0.2,0.4,12,0.306445387881127
"213",0.01,0.2,0.4,13,0.275758711127763
"214",0.01,0.2,0.4,14,0.276661514683153
"215",0.01,0.2,0.4,15,0.166858017604286
"216",0.01,0.2,0.4,16,0.262610704659222
"217",0.01,0.2,0.4,17,0.250486192143135
"218",0.01,0.2,0.4,18,0.186453576864536
"219",0.01,0.2,0.4,19,0.287948809100604
"220",0.01,0.2,0.4,20,0.214003590664273
"221",0.01,0.2,0.4,21,0.21124104111656
"222",0.01,0.2,0.4,22,0.32262721039336
"223",0.01,0.2,0.4,23,0.340585146286572
"224",0.01,0.2,0.4,24,0.318962228157192
"225",0.01,0.2,0.4,25,0.29317738791423
"226",0.01,0.2,0.4,26,0.175074183976261
"227",0.01,0.2,0.4,27,0.173752310536044
"228",0.01,0.2,0.4,28,0.263753413968006
"229",0.01,0.2,0.4,29,0.294685990338164
"230",0.01,0.2,0.4,30,0.187621642662515
"231",0.01,0.2,0.4,31,0.272659176029963
"232",0.01,0.2,0.4,32,0.294592413236481
"233",0.01,0.2,0.4,33,0.189960274467317
"234",0.01,0.2,0.4,34,0.210841121495327
"235",0.01,0.2,0.4,35,0.225660377358491
"236",0.01,0.2,0.4,36,0.293988269794721
"237",0.01,0.2,0.4,37,0.274613353451528
"238",0.01,0.2,0.4,38,0.219747587230883
"239",0.01,0.2,0.4,39,0.191049266641595
"240",0.01,0.2,0.4,40,0.145939584150647
"241",0.01,0.2,0.4,41,0.186751795690343
"242",0.01,0.2,0.4,42,0.260180995475113
"243",0.01,0.2,0.4,43,0.292411601112435
"244",0.01,0.2,0.4,44,0.264395782643958
"245",0.01,0.2,0.4,45,0.352720450281426
"246",0.01,0.2,0.4,46,0.335144170497284
"247",0.01,0.2,0.4,47,0.33177401943145
"248",0.01,0.2,0.4,48,0.295728368017525
"249",0.01,0.2,0.4,49,0.338833883388339
"250",0.01,0.2,0.4,50,0.257355825814045
"251",0.01,0.2,0.4,51,0.220069740410694
"252",0.01,0.2,0.4,52,0.278293135435993
"253",0.01,0.2,0.4,53,0.202737698853126
"254",0.01,0.2,0.4,54,0.157836235642831
