"","Selection_coefficient","Dominance_coefficient","Uniparenting_rate","Replicate","N_seg_homo_genotypes_cloning"
"156",0.01,0.2,0.2,56,63
"157",0.01,0.2,0.2,57,72
"158",0.01,0.2,0.2,58,51
"159",0.01,0.2,0.2,59,46
"160",0.01,0.2,0.2,60,46
"161",0.01,0.2,0.2,61,60
"162",0.01,0.2,0.2,62,57
"163",0.01,0.2,0.2,63,63
"164",0.01,0.2,0.2,64,65
"165",0.01,0.2,0.2,65,74
"166",0.01,0.2,0.2,66,58
"167",0.01,0.2,0.2,67,49
"168",0.01,0.2,0.2,68,63
"169",0.01,0.2,0.2,69,68
"170",0.01,0.2,0.2,70,56
"171",0.01,0.2,0.2,71,56
"172",0.01,0.2,0.2,72,64
"173",0.01,0.2,0.2,73,68
"174",0.01,0.2,0.2,74,59
"175",0.01,0.2,0.2,75,49
"176",0.01,0.2,0.2,76,86
"177",0.01,0.2,0.2,77,52
"178",0.01,0.2,0.2,78,77
"179",0.01,0.2,0.2,79,47
"180",0.01,0.2,0.2,80,54
"181",0.01,0.2,0.2,81,91
"182",0.01,0.2,0.2,82,61
"183",0.01,0.2,0.2,83,63
"184",0.01,0.2,0.2,84,41
"185",0.01,0.2,0.2,85,75
"186",0.01,0.2,0.2,86,65
"187",0.01,0.2,0.2,87,52
"188",0.01,0.2,0.2,88,64
"189",0.01,0.2,0.2,89,86
"190",0.01,0.2,0.2,90,52
"191",0.01,0.2,0.2,91,48
"192",0.01,0.2,0.2,92,55
"193",0.01,0.2,0.2,93,76
"194",0.01,0.2,0.2,94,62
"195",0.01,0.2,0.2,95,56
"196",0.01,0.2,0.2,96,44
"197",0.01,0.2,0.2,97,54
"198",0.01,0.2,0.2,98,52
"199",0.01,0.2,0.2,99,44
"200",0.01,0.2,0.2,100,56
"201",0.01,0.2,0.4,1,42
"202",0.01,0.2,0.4,2,52
"203",0.01,0.2,0.4,3,47
"204",0.01,0.2,0.4,4,58
"205",0.01,0.2,0.4,5,76
"206",0.01,0.2,0.4,6,48
