"","Selection_coefficient","Dominance_coefficient","Uniparenting_rate","Replicate","N_seg_homo_genotypes_cloning"
"719",0.01,0.2,1,19,0
"720",0.01,0.2,1,20,0
"721",0.01,0.2,1,21,0
"722",0.01,0.2,1,22,0
"723",0.01,0.2,1,23,0
"724",0.01,0.2,1,24,0
"725",0.01,0.2,1,25,0
"726",0.01,0.2,1,26,0
"727",0.01,0.2,1,27,0
"728",0.01,0.2,1,28,0
"729",0.01,0.2,1,29,0
"730",0.01,0.2,1,30,0
"731",0.01,0.2,1,31,0
"732",0.01,0.2,1,32,0
"733",0.01,0.2,1,33,0
"734",0.01,0.2,1,34,0
"735",0.01,0.2,1,35,0
"736",0.01,0.2,1,36,0
"737",0.01,0.2,1,37,0
"738",0.01,0.2,1,38,0
"739",0.01,0.2,1,39,0
"740",0.01,0.2,1,40,0
"741",0.01,0.2,1,41,0
"742",0.01,0.2,1,42,0
"743",0.01,0.2,1,43,0
"744",0.01,0.2,1,44,0
"745",0.01,0.2,1,45,0
"746",0.01,0.2,1,46,0
"747",0.01,0.2,1,47,0
"748",0.01,0.2,1,48,0
"749",0.01,0.2,1,49,0
"750",0.01,0.2,1,50,0
"751",0.01,0.2,1,51,0
"752",0.01,0.2,1,52,0
"753",0.01,0.2,1,53,0
"754",0.01,0.2,1,54,0
"755",0.01,0.2,1,55,0
"756",0.01,0.2,1,56,0
"757",0.01,0.2,1,57,0
"758",0.01,0.2,1,58,0
"759",0.01,0.2,1,59,0
"760",0.01,0.2,1,60,0
"761",0.01,0.2,1,61,0
"762",0.01,0.2,1,62,0
"763",0.01,0.2,1,63,0
"764",0.01,0.2,1,64,0
"765",0.01,0.2,1,65,0
"766",0.01,0.2,1,66,0
"767",0.01,0.2,1,67,0
"768",0.01,0.2,1,68,0
"769",0.01,0.2,1,69,0
"770",0.01,0.2,1,70,0
"771",0.01,0.2,1,71,0
"772",0.01,0.2,1,72,0
"773",0.01,0.2,1,73,0
"774",0.01,0.2,1,74,0
"775",0.01,0.2,1,75,0
"776",0.01,0.2,1,76,0
"777",0.01,0.2,1,77,0
"778",0.01,0.2,1,78,0
"779",0.01,0.2,1,79,0
"780",0.01,0.2,1,80,0
"781",0.01,0.2,1,81,0
"782",0.01,0.2,1,82,0
"783",0.01,0.2,1,83,0
"784",0.01,0.2,1,84,0
"785",0.01,0.2,1,85,0
"786",0.01,0.2,1,86,0
"787",0.01,0.2,1,87,0
"788",0.01,0.2,1,88,0
"789",0.01,0.2,1,89,0
"790",0.01,0.2,1,90,0
"791",0.01,0.2,1,91,0
"792",0.01,0.2,1,92,0
"793",0.01,0.2,1,93,0
"794",0.01,0.2,1,94,0
"795",0.01,0.2,1,95,0
"796",0.01,0.2,1,96,0
"797",0.01,0.2,1,97,0
"798",0.01,0.2,1,98,0
"799",0.01,0.2,1,99,0
"800",0.01,0.2,1,100,0
