"","Uniparenting_rate","Expected_additive_load","SD_additive_load"
"1",0,75416.9,1645.79080016105
"2",0.2,65564.85,2161.04977596781
"3",0.4,57073.25,2084.48544389004
"4",0.6,46967.05,1131.06807813165
"5",0.8,35873.55,2078.13961526321
"6",0.95,18116.55,1906.10654352351
"7",0.99,9010.8,1736.74897740759
"8",1,6156.45,1783.29232704125
