"","Uniparenting_rate","Expected_recessive_load","SD_recessive_load"
"1",0,16743.85,765.989162696458
"2",0.2,16451.15,705.929568202918
"3",0.4,15955.3,644.303467237867
"4",0.6,15038.05,803.483368641947
"5",0.8,12871.1,724.67581862876
"6",0.95,6140,4322.00519983126
"7",0.99,2431.15,2193.1506362213
"8",1,0,0
