"","Uniparenting_rate","Expected_additive_load","SD_additive_load"
"1",0,75670.95,2168.62285855138
"2",0.2,74430.65,2073.05315835567
"3",0.4,72015.8,1458.68118518064
"4",0.6,68224.65,2220.66505626248
"5",0.8,58555.5,2383.47920176853
"6",0.95,438712.25,13664.7315142034
"7",0.99,479405.1,4583.48907435557
"8",1,485674.1,4790.50260960492
