"","Uniparenting_rate","Expected_additive_load","SD_additive_load"
"1",0,64425.5142857143,1398.26534070798
"2",0.2,58588,1848.51568435167
"3",0.4,52784.8285714286,1552.66390601508
"4",0.6,45039.2571428571,1512.25508163563
"5",0.8,35131.3714285714,1611.53879852756
"6",0.95,18197.9428571429,1327.96848259147
"7",0.99,9227.31428571429,2055.61755099687
"8",1,6195.6,2289.64608361976
