"","Uniparenting_rate","Expected_additive_load","SD_additive_load"
"1",0.8,58425.4666666667,2544.95988929005
"2",0.95,438315.533333333,14696.2636012728
"3",0.99,479763.533333333,5114.8289996087
"4",1,485675.133333333,5015.63449720211
