"","Uniparenting_rate","Expected_recessive_load","SD_recessive_load"
"1",0.8,12824.7333333333,790.40003132832
"2",0.95,6051.33333333333,3867.76252533438
"3",0.99,1666.33333333333,1841.62233086043
"4",1,0,0
