"","GC_rate","Expected_recessive_load","SD_recessive_load"
"1",1e-08,2264.3,449.068925667319
"2",1e-07,2692.6,954.938997469937
"3",1e-06,2713.8,908.38217605685
"4",1e-05,2634.8,1222.94233533538
