"","Selection_coefficient","Dominance_coefficient","GC_rate","Expected_recessive_load","SD_recessive_load"
"1",0.01,0.2,1e-10,0,0
"2",0.01,0.2,1e-08,4.8,3.3466401061363
"3",0.01,0.2,1e-06,609,269.259168831815
"4",0.01,0.2,1e-04,817,265.439258588476
"5",0.01,0.5,1e-10,0,0
"6",0.01,0.5,1e-08,883.4,402.190004848455
"7",0.01,0.5,1e-06,490,222.590431061176
"8",0.01,0.5,1e-04,827,227.599428821779
