"","Selection_coefficient","Dominance_coefficient","GC_rate","Expected_additive_load","SD_additive_load"
"1",0.01,0.2,1e-10,57919.8,748.792160749563
"2",0.01,0.2,1e-08,59225.8,528.589822073789
"3",0.01,0.2,1e-06,46194.4,957.007210004188
"4",0.01,0.2,1e-04,1679,528.099422457552
"5",0.01,0.5,1e-10,28724.6,8926.16100571797
"6",0.01,0.5,1e-08,7472.4,2713.777127916
"7",0.01,0.5,1e-06,2073.4,499.289795609724
"8",0.01,0.5,1e-04,1692,448.984966340745
