"","Selection_coefficient","Dominance_coefficient","GC_rate","Expected_recessive_load","SD_recessive_load"
"1",0.01,0.2,1e-11,1.54,5.5694331721088
"2",0.01,0.2,1e-10,10.36,11.1187529276743
"3",0.01,0.2,1e-09,108.28,55.4291029563483
"4",0.01,0.2,1e-08,713.28,223.055959822017
"5",0.01,0.2,1e-07,970.45,333.09880764807
"6",0.01,0.2,1e-06,863.4,331.635311446142
"7",0.01,0.2,1e-05,803.19,231.516681119015
