"","Selection_coefficient","Dominance_coefficient","GC_rate","Mean_tract_length","Replicate","N_segregating_mutations_GC"
"115",0.01,0.2,1e-06,4000,15,3462
"116",0.01,0.2,1e-06,4000,16,3401
"117",0.01,0.2,1e-06,4000,17,3299
"118",0.01,0.2,1e-06,4000,18,4840
"119",0.01,0.2,1e-06,4000,19,3677
"120",0.01,0.2,1e-06,4000,20,2619
"121",0.01,0.2,1e-06,4000,21,3528
"122",0.01,0.2,1e-06,4000,22,3472
"123",0.01,0.2,1e-06,4000,23,3556
"124",0.01,0.2,1e-06,4000,24,3907
"125",0.01,0.2,1e-06,4000,25,3423
"126",0.01,0.2,1e-06,4000,26,3442
"127",0.01,0.2,1e-06,4000,27,4461
"128",0.01,0.2,1e-06,4000,28,2846
"129",0.01,0.2,1e-06,4000,29,4159
"130",0.01,0.2,1e-06,4000,30,3800
"131",0.01,0.2,1e-06,4000,31,3220
"132",0.01,0.2,1e-06,4000,32,4399
"133",0.01,0.2,1e-06,4000,33,3486
"134",0.01,0.2,1e-06,4000,34,3268
"135",0.01,0.2,1e-06,4000,35,3905
"136",0.01,0.2,1e-06,4000,36,3911
"137",0.01,0.2,1e-06,4000,37,3816
"138",0.01,0.2,1e-06,4000,38,3565
"139",0.01,0.2,1e-06,4000,39,3582
"140",0.01,0.2,1e-06,4000,40,4163
"141",0.01,0.2,1e-06,4000,41,3241
"142",0.01,0.2,1e-06,4000,42,4493
"143",0.01,0.2,1e-06,4000,43,4811
"144",0.01,0.2,1e-06,4000,44,4071
"145",0.01,0.2,1e-06,4000,45,4182
"146",0.01,0.2,1e-06,4000,46,3160
"147",0.01,0.2,1e-06,4000,47,3239
"148",0.01,0.2,1e-06,4000,48,2649
"149",0.01,0.2,1e-06,4000,49,4232
"150",0.01,0.2,1e-06,4000,50,3713
"151",0.01,0.2,1e-06,4000,51,4931
"152",0.01,0.2,1e-06,4000,52,4403
"153",0.01,0.2,1e-06,4000,53,3730
"154",0.01,0.2,1e-06,4000,54,3821
"155",0.01,0.2,1e-06,4000,55,3505
"156",0.01,0.2,1e-06,4000,56,3094
"157",0.01,0.2,1e-06,4000,57,4542
"158",0.01,0.2,1e-06,4000,58,3923
"159",0.01,0.2,1e-06,4000,59,3035
"160",0.01,0.2,1e-06,4000,60,3367
"161",0.01,0.2,1e-06,4000,61,4819
"162",0.01,0.2,1e-06,4000,62,4770
"163",0.01,0.2,1e-06,4000,63,6027
"164",0.01,0.2,1e-06,4000,64,3588
"165",0.01,0.2,1e-06,4000,65,4919
"166",0.01,0.2,1e-06,4000,66,3668
"167",0.01,0.2,1e-06,4000,67,3674
"168",0.01,0.2,1e-06,4000,68,4976
"169",0.01,0.2,1e-06,4000,69,6735
"170",0.01,0.2,1e-06,4000,70,4013
"171",0.01,0.2,1e-06,4000,71,3640
"172",0.01,0.2,1e-06,4000,72,3594
"173",0.01,0.2,1e-06,4000,73,4163
"174",0.01,0.2,1e-06,4000,74,2890
"175",0.01,0.2,1e-06,4000,75,3522
"176",0.01,0.2,1e-06,4000,76,4085
"177",0.01,0.2,1e-06,4000,77,4450
"178",0.01,0.2,1e-06,4000,78,3856
"179",0.01,0.2,1e-06,4000,79,4094
"180",0.01,0.2,1e-06,4000,80,3495
"181",0.01,0.2,1e-06,4000,81,4476
"182",0.01,0.2,1e-06,4000,82,3219
"183",0.01,0.2,1e-06,4000,83,3754
"184",0.01,0.2,1e-06,4000,84,4671
"185",0.01,0.2,1e-06,4000,85,3209
"186",0.01,0.2,1e-06,4000,86,3436
"187",0.01,0.2,1e-06,4000,87,4972
"188",0.01,0.2,1e-06,4000,88,6264
"189",0.01,0.2,1e-06,4000,89,2834
"190",0.01,0.2,1e-06,4000,90,3821
"191",0.01,0.2,1e-06,4000,91,4738
"192",0.01,0.2,1e-06,4000,92,3991
"193",0.01,0.2,1e-06,4000,93,4114
"194",0.01,0.2,1e-06,4000,94,3049
"195",0.01,0.2,1e-06,4000,95,5086
"196",0.01,0.2,1e-06,4000,96,3343
"197",0.01,0.2,1e-06,4000,97,4400
"198",0.01,0.2,1e-06,4000,98,4001
"199",0.01,0.2,1e-06,4000,99,4957
"200",0.01,0.2,1e-06,4000,100,3201
"201",0.01,0.2,1e-07,4000,1,26143
"202",0.01,0.2,1e-07,4000,2,23900
"203",0.01,0.2,1e-07,4000,3,24599
"204",0.01,0.2,1e-07,4000,4,26626
"205",0.01,0.2,1e-07,4000,5,24883
"206",0.01,0.2,1e-07,4000,6,25787
"207",0.01,0.2,1e-07,4000,7,24305
"208",0.01,0.2,1e-07,4000,8,26980
"209",0.01,0.2,1e-07,4000,9,24512
"210",0.01,0.2,1e-07,4000,10,25593
"211",0.01,0.2,1e-07,4000,11,25034
"212",0.01,0.2,1e-07,4000,12,24488
"213",0.01,0.2,1e-07,4000,13,27888
"214",0.01,0.2,1e-07,4000,14,24708
"215",0.01,0.2,1e-07,4000,15,28436
"216",0.01,0.2,1e-07,4000,16,24115
"217",0.01,0.2,1e-07,4000,17,25181
"218",0.01,0.2,1e-07,4000,18,23293
"219",0.01,0.2,1e-07,4000,19,24404
"220",0.01,0.2,1e-07,4000,20,24442
"221",0.01,0.2,1e-07,4000,21,25673
"222",0.01,0.2,1e-07,4000,22,23681
"223",0.01,0.2,1e-07,4000,23,24901
"224",0.01,0.2,1e-07,4000,24,25865
"225",0.01,0.2,1e-07,4000,25,27023
"226",0.01,0.2,1e-07,4000,26,25823
"227",0.01,0.2,1e-07,4000,27,23763
"228",0.01,0.2,1e-07,4000,28,25269
"229",0.01,0.2,1e-07,4000,29,23863
"230",0.01,0.2,1e-07,4000,30,24503
"231",0.01,0.2,1e-07,4000,31,23972
"232",0.01,0.2,1e-07,4000,32,25386
"233",0.01,0.2,1e-07,4000,33,24600
"234",0.01,0.2,1e-07,4000,34,25055
"235",0.01,0.2,1e-07,4000,35,25461
"236",0.01,0.2,1e-07,4000,36,26593
"237",0.01,0.2,1e-07,4000,37,28191
"238",0.01,0.2,1e-07,4000,38,24218
"239",0.01,0.2,1e-07,4000,39,25760
"240",0.01,0.2,1e-07,4000,40,25111
"241",0.01,0.2,1e-07,4000,41,24336
"242",0.01,0.2,1e-07,4000,42,25992
"243",0.01,0.2,1e-07,4000,43,24358
"244",0.01,0.2,1e-07,4000,44,26452
"245",0.01,0.2,1e-07,4000,45,24517
"246",0.01,0.2,1e-07,4000,46,24773
"247",0.01,0.2,1e-07,4000,47,26860
"248",0.01,0.2,1e-07,4000,48,26314
"249",0.01,0.2,1e-07,4000,49,27527
"250",0.01,0.2,1e-07,4000,50,26731
"251",0.01,0.2,1e-07,4000,51,28104
"252",0.01,0.2,1e-07,4000,52,26863
"253",0.01,0.2,1e-07,4000,53,24665
"254",0.01,0.2,1e-07,4000,54,25168
"255",0.01,0.2,1e-07,4000,55,25110
"256",0.01,0.2,1e-07,4000,56,22855
"257",0.01,0.2,1e-07,4000,57,25493
"258",0.01,0.2,1e-07,4000,58,27356
"259",0.01,0.2,1e-07,4000,59,27034
"260",0.01,0.2,1e-07,4000,60,26711
"261",0.01,0.2,1e-07,4000,61,26976
"262",0.01,0.2,1e-07,4000,62,25848
"263",0.01,0.2,1e-07,4000,63,22020
