"","Selection_coefficient","Dominance_coefficient","GC_rate","Mean_tract_length","Replicate","N_segregating_mutations_GC"
"572",0.01,0.2,1e-10,4000,72,347544
"573",0.01,0.2,1e-10,4000,73,346827
"574",0.01,0.2,1e-10,4000,74,351261
"575",0.01,0.2,1e-10,4000,75,345275
"576",0.01,0.2,1e-10,4000,76,347894
"577",0.01,0.2,1e-10,4000,77,348451
"578",0.01,0.2,1e-10,4000,78,348149
"579",0.01,0.2,1e-10,4000,79,344302
"580",0.01,0.2,1e-10,4000,80,348053
"581",0.01,0.2,1e-10,4000,81,350517
"582",0.01,0.2,1e-10,4000,82,350899
"583",0.01,0.2,1e-10,4000,83,346146
"584",0.01,0.2,1e-10,4000,84,346200
"585",0.01,0.2,1e-10,4000,85,350082
"586",0.01,0.2,1e-10,4000,86,347976
"587",0.01,0.2,1e-10,4000,87,346305
"588",0.01,0.2,1e-10,4000,88,343224
"589",0.01,0.2,1e-10,4000,89,344421
"590",0.01,0.2,1e-10,4000,90,347451
"591",0.01,0.2,1e-10,4000,91,351480
"592",0.01,0.2,1e-10,4000,92,347919
"593",0.01,0.2,1e-10,4000,93,346818
"594",0.01,0.2,1e-10,4000,94,345681
"595",0.01,0.2,1e-10,4000,95,347352
"596",0.01,0.2,1e-10,4000,96,349135
"597",0.01,0.2,1e-10,4000,97,340572
"598",0.01,0.2,1e-10,4000,98,346615
"599",0.01,0.2,1e-10,4000,99,347583
"600",0.01,0.2,1e-10,4000,100,342741
"601",0.01,0.2,1e-11,4000,1,349261
"602",0.01,0.2,1e-11,4000,2,348974
"603",0.01,0.2,1e-11,4000,3,344018
"604",0.01,0.2,1e-11,4000,4,349251
"605",0.01,0.2,1e-11,4000,5,346641
"606",0.01,0.2,1e-11,4000,6,347213
"607",0.01,0.2,1e-11,4000,7,347698
"608",0.01,0.2,1e-11,4000,8,352654
"609",0.01,0.2,1e-11,4000,9,350479
"610",0.01,0.2,1e-11,4000,10,351642
"611",0.01,0.2,1e-11,4000,11,347840
"612",0.01,0.2,1e-11,4000,12,352065
"613",0.01,0.2,1e-11,4000,13,344538
"614",0.01,0.2,1e-11,4000,14,345882
"615",0.01,0.2,1e-11,4000,15,350630
"616",0.01,0.2,1e-11,4000,16,348622
"617",0.01,0.2,1e-11,4000,17,347507
"618",0.01,0.2,1e-11,4000,18,342395
"619",0.01,0.2,1e-11,4000,19,350844
"620",0.01,0.2,1e-11,4000,20,348179
"621",0.01,0.2,1e-11,4000,21,349182
"622",0.01,0.2,1e-11,4000,22,352101
"623",0.01,0.2,1e-11,4000,23,344925
"624",0.01,0.2,1e-11,4000,24,349635
"625",0.01,0.2,1e-11,4000,25,351367
"626",0.01,0.2,1e-11,4000,26,347612
"627",0.01,0.2,1e-11,4000,27,350183
"628",0.01,0.2,1e-11,4000,28,349049
"629",0.01,0.2,1e-11,4000,29,352060
"630",0.01,0.2,1e-11,4000,30,348388
"631",0.01,0.2,1e-11,4000,31,350399
"632",0.01,0.2,1e-11,4000,32,351408
"633",0.01,0.2,1e-11,4000,33,347475
"634",0.01,0.2,1e-11,4000,34,350778
"635",0.01,0.2,1e-11,4000,35,349580
"636",0.01,0.2,1e-11,4000,36,349962
"637",0.01,0.2,1e-11,4000,37,348346
"638",0.01,0.2,1e-11,4000,38,351941
"639",0.01,0.2,1e-11,4000,39,350166
"640",0.01,0.2,1e-11,4000,40,349550
"641",0.01,0.2,1e-11,4000,41,347880
"642",0.01,0.2,1e-11,4000,42,346010
"643",0.01,0.2,1e-11,4000,43,352141
"644",0.01,0.2,1e-11,4000,44,351486
"645",0.01,0.2,1e-11,4000,45,350564
"646",0.01,0.2,1e-11,4000,46,349893
"647",0.01,0.2,1e-11,4000,47,351601
"648",0.01,0.2,1e-11,4000,48,347546
"649",0.01,0.2,1e-11,4000,49,349033
"650",0.01,0.2,1e-11,4000,50,352910
"651",0.01,0.2,1e-11,4000,51,351584
"652",0.01,0.2,1e-11,4000,52,347021
"653",0.01,0.2,1e-11,4000,53,348403
"654",0.01,0.2,1e-11,4000,54,350719
"655",0.01,0.2,1e-11,4000,55,344753
"656",0.01,0.2,1e-11,4000,56,346294
"657",0.01,0.2,1e-11,4000,57,351187
"658",0.01,0.2,1e-11,4000,58,349008
"659",0.01,0.2,1e-11,4000,59,344096
"660",0.01,0.2,1e-11,4000,60,351057
"661",0.01,0.2,1e-11,4000,61,348715
"662",0.01,0.2,1e-11,4000,62,349181
"663",0.01,0.2,1e-11,4000,63,342876
"664",0.01,0.2,1e-11,4000,64,347333
"665",0.01,0.2,1e-11,4000,65,348077
"666",0.01,0.2,1e-11,4000,66,345845
"667",0.01,0.2,1e-11,4000,67,350407
"668",0.01,0.2,1e-11,4000,68,348212
"669",0.01,0.2,1e-11,4000,69,349029
"670",0.01,0.2,1e-11,4000,70,347465
"671",0.01,0.2,1e-11,4000,71,348433
"672",0.01,0.2,1e-11,4000,72,345961
"673",0.01,0.2,1e-11,4000,73,347370
"674",0.01,0.2,1e-11,4000,74,350404
"675",0.01,0.2,1e-11,4000,75,349230
"676",0.01,0.2,1e-11,4000,76,353466
"677",0.01,0.2,1e-11,4000,77,346649
"678",0.01,0.2,1e-11,4000,78,347282
"679",0.01,0.2,1e-11,4000,79,348677
"680",0.01,0.2,1e-11,4000,80,351807
"681",0.01,0.2,1e-11,4000,81,346376
"682",0.01,0.2,1e-11,4000,82,348752
"683",0.01,0.2,1e-11,4000,83,347861
"684",0.01,0.2,1e-11,4000,84,351552
"685",0.01,0.2,1e-11,4000,85,348058
"686",0.01,0.2,1e-11,4000,86,349887
"687",0.01,0.2,1e-11,4000,87,345508
"688",0.01,0.2,1e-11,4000,88,345926
"689",0.01,0.2,1e-11,4000,89,347092
"690",0.01,0.2,1e-11,4000,90,349095
"691",0.01,0.2,1e-11,4000,91,348634
"692",0.01,0.2,1e-11,4000,92,344848
"693",0.01,0.2,1e-11,4000,93,344590
"694",0.01,0.2,1e-11,4000,94,350824
"695",0.01,0.2,1e-11,4000,95,351035
"696",0.01,0.2,1e-11,4000,96,349220
"697",0.01,0.2,1e-11,4000,97,349388
"698",0.01,0.2,1e-11,4000,98,344599
"699",0.01,0.2,1e-11,4000,99,348161
"700",0.01,0.2,1e-11,4000,100,347666
