"","Selection_coefficient","Dominance_coefficient","GC_rate","Expected_additive_load","SD_additive_load"
"1",0.01,0.2,1e-11,348691.17,2363.24823138225
"2",0.01,0.2,1e-10,346887.02,2444.6031219481
"3",0.01,0.2,1e-09,331409.29,3093.94150008684
"4",0.01,0.2,1e-08,209581.17,3894.01137478689
"5",0.01,0.2,1e-07,25498.65,1368.43157566344
"6",0.01,0.2,1e-06,3906.88,732.471784267131
"7",0.01,0.2,1e-05,1850.63,465.606841019374
