"","Selection_coefficient","Dominance_coefficient","GC_rate","Mean_tract_length","Replicate","Relative_homo_GC"
"96",0.01,0.2,1e-05,4000,96,0.865137101287073
"97",0.01,0.2,1e-05,4000,97,0.853475935828877
"98",0.01,0.2,1e-05,4000,98,0.841063698206555
"99",0.01,0.2,1e-05,4000,99,0.811178247734139
"100",0.01,0.2,1e-05,4000,100,0.788844621513944
"101",0.01,0.2,1e-06,4000,1,0.46731177720085
"102",0.01,0.2,1e-06,4000,2,0.398894750062798
"103",0.01,0.2,1e-06,4000,3,0.482598607888631
"104",0.01,0.2,1e-06,4000,4,0.413477088948787
"105",0.01,0.2,1e-06,4000,5,0.414218566392479
"106",0.01,0.2,1e-06,4000,6,0.479311947931195
"107",0.01,0.2,1e-06,4000,7,0.525790349417637
"108",0.01,0.2,1e-06,4000,8,0.429480901077375
"109",0.01,0.2,1e-06,4000,9,0.34304
"110",0.01,0.2,1e-06,4000,10,0.394357743097239
"111",0.01,0.2,1e-06,4000,11,0.312242090784044
"112",0.01,0.2,1e-06,4000,12,0.3815877251501
"113",0.01,0.2,1e-06,4000,13,0.36452442159383
"114",0.01,0.2,1e-06,4000,14,0.450203983681305
"115",0.01,0.2,1e-06,4000,15,0.394569612940497
"116",0.01,0.2,1e-06,4000,16,0.359306086445163
"117",0.01,0.2,1e-06,4000,17,0.3116095786602
"118",0.01,0.2,1e-06,4000,18,0.555785123966942
"119",0.01,0.2,1e-06,4000,19,0.436225183573565
"120",0.01,0.2,1e-06,4000,20,0.271859488354334
"121",0.01,0.2,1e-06,4000,21,0.340136054421769
"122",0.01,0.2,1e-06,4000,22,0.345622119815668
"123",0.01,0.2,1e-06,4000,23,0.358830146231721
"124",0.01,0.2,1e-06,4000,24,0.457640133094446
"125",0.01,0.2,1e-06,4000,25,0.393222319602688
"126",0.01,0.2,1e-06,4000,26,0.321905868680999
"127",0.01,0.2,1e-06,4000,27,0.52320107599193
"128",0.01,0.2,1e-06,4000,28,0.286015460295151
"129",0.01,0.2,1e-06,4000,29,0.484731906708343
"130",0.01,0.2,1e-06,4000,30,0.379473684210526
"131",0.01,0.2,1e-06,4000,31,0.352795031055901
"132",0.01,0.2,1e-06,4000,32,0.478745169356672
"133",0.01,0.2,1e-06,4000,33,0.387837062535858
"134",0.01,0.2,1e-06,4000,34,0.364749082007344
"135",0.01,0.2,1e-06,4000,35,0.506017925736236
"136",0.01,0.2,1e-06,4000,36,0.387624648427512
"137",0.01,0.2,1e-06,4000,37,0.448637316561845
"138",0.01,0.2,1e-06,4000,38,0.419635343618513
"139",0.01,0.2,1e-06,4000,39,0.386376326074819
"140",0.01,0.2,1e-06,4000,40,0.502522219553207
"141",0.01,0.2,1e-06,4000,41,0.329527923480407
