"","GC_rate","Expected_additive_load","SD_additive_load"
"1",1e-11,489063.3,3473.05539674922
"2",1e-10,483529.5,6634.3286564823
"3",1e-09,446811,5789.08353906058
"4",1e-08,235376,3475.31677213267
"5",1e-07,31685.4,1809.89945699877
"6",1e-06,7769.6,1835.27486285358
"7",1e-05,5519.8,2444.25329656682
