"","Selection_coefficient","Dominance_coefficient","Uniparenting_rate","Expected_additive_load","SD_additive_load"
"1",0.01,0.2,0.95,296192,5579.2286582513
"2",0.01,0.2,0.99,332663.15,2911.31018208569
"3",0.01,0.2,1,348678.85,2385.36011349495
