"","Selection_coefficient","Dominance_coefficient","Uniparenting_rate","Expected_recessive_load","SD_recessive_load"
"1",0.01,0.2,0.95,3803.95,2403.26782954508
"2",0.01,0.2,0.99,587.3,1256.5799071917
"3",0.01,0.2,1,0,0
