"","Selection_coefficient","Dominance_coefficient","Uniparenting_rate","Expected_N_fixed_mutations","SD_N_fixed_mutations"
"1",0.01,0.2,0.95,6.95,3.45611586063101
"2",0.01,0.2,0.99,2.6,2.03650888067119
"3",0.01,0.2,1,0,0
