"","Selection_coefficient","Dominance_coefficient","GC_rate","Expected_recessive_load","SD_recessive_load"
"1",0.01,0.2,1e-13,0,0
"2",0.01,0.2,1e-12,0,0
"3",0.01,0.2,1e-11,0,0
"4",0.01,0.5,1e-13,0,0
"5",0.01,0.5,1e-12,0,0
"6",0.01,0.5,1e-11,446.72,3636.17805533516
