"","Selection_coefficient","Dominance_coefficient","GC_rate","Expected_additive_load","SD_additive_load"
"1",0.01,0.2,1e-13,116680.48,1540.12729029228
"2",0.01,0.2,1e-12,116464.23,1381.2721910462
"3",0.01,0.2,1e-11,116637.61,1492.57848139765
"4",0.01,0.5,1e-13,85700.69,1214.531473824
"5",0.01,0.5,1e-12,84099.11,9205.60172224423
"6",0.01,0.5,1e-11,73817.01,18646.8192616236
