"","Selection_coefficient","Dominance_coefficient","GC_rate","Expected_N_fixed_mutations","SD_N_fixed_mutations"
"1",0.01,0.2,1e-13,0,0
"2",0.01,0.2,1e-12,0,0
"3",0.01,0.2,1e-11,0,0
"4",0.01,0.5,1e-13,0,0
"5",0.01,0.5,1e-12,14.83,86.3236867197462
"6",0.01,0.5,1e-11,114.47,181.222585108853
