"","Selection_coefficient","Dominance_coefficient","GC_rate","Expected_N_fixed_mutations","SD_N_fixed_mutations"
"1",0.01,0.2,1e-13,0,0
"2",0.01,0.2,1e-12,0,0
"3",0.01,0.2,1e-11,0,0
"4",0.01,0.5,1e-13,0,0
"5",0.01,0.5,1e-12,23.03,97.5562469200784
"6",0.01,0.5,1e-11,137.16,209.261699768254
