"","Selection_coefficient","Dominance_coefficient","GC_rate","Expected_additive_load","SD_additive_load"
"1",0.01,0.2,1e-13,116885.43,1401.31114112549
"2",0.01,0.2,1e-12,116691.28,1505.38975845078
"3",0.01,0.2,1e-11,116588.08,1402.9715554688
"4",0.01,0.5,1e-13,85843.27,1099.27455284167
"5",0.01,0.5,1e-12,83425.34,10316.5641598863
"6",0.01,0.5,1e-11,71866.54,21450.9137746172
